"BehaviorSpace results (NetLogo 6.0.2)"
"CapeTownABM.nlogo"
"scenario 2 price elasticity"
"04/02/2019 18:05:56:204 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","water-price-elasticity","Irrigation-Efficiency","Scenario-1?","Kc","share-other-crops-irrigation","water-price","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"8","-0.8","0.7","false","0.2","0.57","5.2","4","0","180","5.2","10345.603399279998","28481.25","38826.85339928","459226.0020144001","3.875"
"6","-0.6","0.7","false","0.2","0.57","5.2","9","0","180","5.2","393.29999999999995","23482.5","23875.8","921000","3.875"
"5","-0.51","0.7","false","0.2","0.57","5.2","10","0","180","5.2","4164.6394515348","26547.625","30712.2644515348","921000","3.875"
"1","-0.1","0.7","false","0.2","0.57","5.2","9","0","180","5.2","393.29999999999995","23482.5","23875.8","921000","3.875"
"8","-0.8","0.7","false","0.2","0.57","5.2","5","0","180","5.2","3175.1075206193996","26067.125","29242.2325206194","431086.2952158401","3.875"
"4","-0.4","0.7","false","0.2","0.57","5.2","10","0","180","5.2","4164.6394515348","26547.625","30712.2644515348","921000","3.875"
"6","-0.6","0.7","false","0.2","0.57","5.2","10","0","180","5.2","4164.6394515348","26547.625","30712.2644515348","921000","3.875"
"1","-0.1","0.7","false","0.2","0.57","5.2","10","0","180","5.2","4164.6394515348","26547.625","30712.2644515348","921000","3.875"
"5","-0.51","0.7","false","0.2","0.57","5.2","11","0","180","5.2","7559.133181347199","28248.75","35807.8831813472","921000","3.875"
"8","-0.8","0.7","false","0.2","0.57","5.2","6","0","180","5.2","393.29999999999995","23482.5","23875.8","611223.8301746013","3.875"
"6","-0.6","0.7","false","0.2","0.57","5.2","11","0","180","5.2","7559.133181347199","28248.75","35807.8831813472","921000","3.875"
"4","-0.4","0.7","false","0.2","0.57","5.2","11","0","180","5.2","7559.133181347199","28248.75","35807.8831813472","921000","3.875"
"1","-0.1","0.7","false","0.2","0.57","5.2","11","0","180","5.2","7559.133181347199","28248.75","35807.8831813472","921000","3.875"
"5","-0.51","0.7","false","0.2","0.57","5.2","12","0","180","5.2","21875.900839019996","32193.5","54069.400839019996","921000","3.906"
"8","-0.8","0.7","false","0.2","0.57","5.2","7","0","180","5.2","406.40999999999997","23424.375","23830.785","889328.2301746012","3.875"
"1","-0.1","0.7","false","0.2","0.57","5.2","12","0","180","5.2","21875.900839019996","32193.5","54069.400839019996","921000","3.906"
"4","-0.4","0.7","false","0.2","0.57","5.2","12","0","180","5.2","21875.900839019996","32193.5","54069.400839019996","921000","3.906"
"6","-0.6","0.7","false","0.2","0.57","5.2","12","0","180","5.2","21875.900839019996","32193.5","54069.400839019996","921000","3.906"
