"","run","Irrigation.Efficiency","Scenario.1","water.price.elasticity","share.other.crops.irrigation","water.price","Kc","tick","reduction.this.month","energy.output.this.month","water.price.this.month","ag.allocation.this.month","mu.allocation.this.month","total.allocation.this.month","V.display","population"
"40",1,0.6,TRUE,-0.51,0.57,5.2,0.2,39,0,180,0,20225.098204344,33956.590639104,54181.688843448,494732.845327931,3.968745984
"41",1,0.6,TRUE,-0.51,0.57,5.2,0.2,40,0.3,180,0,7424.75030512992,20419.19808768,27843.9483928099,404240.467641035,3.968745984
"42",1,0.6,TRUE,-0.51,0.57,5.2,0.2,41,0.2,180,0,2838.68033129664,21358.2033874944,24196.883718791,405801.570855415,3.968745984
"43",1,0.6,TRUE,-0.51,0.57,5.2,0.2,42,0,180,0,444.6,24050.60066304,24495.20066304,452737.803417833,3.968745984
"44",1,0.6,TRUE,-0.51,0.57,5.2,0.2,43,0,180,0,441.75,23991.06947328,24432.81947328,644279.402091753,3.968745984
"45",1,0.6,TRUE,-0.51,0.57,5.2,0.2,44,0,180,0,441.75,24237.131724288,24678.881724288,921000,3.968745984
"46",1,0.6,TRUE,-0.51,0.57,5.2,0.2,45,0,180,0,444.6,24050.60066304,24495.20066304,921000,3.968745984
"47",1,0.6,TRUE,-0.51,0.57,5.2,0.2,46,0,180,0,3634.0778522772,27189.878736384,30823.9565886612,921000,3.968745984
"48",1,0.6,TRUE,-0.51,0.57,5.2,0.2,47,0,180,0,9553.9326895704,28932.15822336,38486.0909129304,921000,3.968745984
"49",1,0.6,TRUE,-0.51,0.57,5.2,0.2,48,0,180,0,24489.0327247968,32972.341635072,57461.3743598688,921000,4.000495951872
"50",1,0.6,TRUE,-0.51,0.57,5.2,0.2,49,0,180,0,31816.892405904,34104.2279897088,65921.1203956128,921000,4.000495951872
"51",1,0.6,TRUE,-0.51,0.57,5.2,0.2,50,0,180,0,25585.2639221928,32259.9993558958,57845.2632780886,891563.51385639,4.000495951872
"52",1,0.6,TRUE,-0.51,0.57,5.2,0.2,51,0,180,0,21475.6220751744,34228.2433642168,55703.8654393912,770417.987300213,4.000495951872
"53",1,0.6,TRUE,-0.51,0.57,5.2,0.2,52,0,180,0,11289.1394697096,29403.6452462592,40692.7847159688,686800.25642143,4.000495951872
"54",1,0.6,TRUE,-0.51,0.57,5.2,0.2,53,0,180,0,3601.3944952992,26911.3362682429,30512.7307635421,666301.686989493,4.000495951872
"55",1,0.6,TRUE,-0.51,0.57,5.2,0.2,54,0,180,0,495.9,24243.0054683443,24738.9054683443,788326.225462409,4.000495951872
"56",1,0.6,TRUE,-0.51,0.57,5.2,0.2,55,0,180,0,494.76,24182.9980290662,24677.7580290662,921000,4.000495951872
"57",1,0.6,TRUE,-0.51,0.57,5.2,0.2,56,0,180,0,494.76,24431.0287780823,24925.7887780823,921000,4.000495951872
"58",1,0.6,TRUE,-0.51,0.57,5.2,0.2,57,0,180,0,495.9,24243.0054683443,24738.9054683443,921000,4.000495951872
"59",1,0.6,TRUE,-0.51,0.57,5.2,0.2,58,0,180,0,3588.4852793712,27407.3977662751,30995.8830456463,921000,4.000495951872
"60",1,0.6,TRUE,-0.51,0.57,5.2,0.2,59,0,180,0,6261.476884056,29163.6154891469,35425.0923732029,921000,4.000495951872
